Reads 100 times per second during 10 seconds (10000 readings)
1. Rotate on X axis, first go down and then go up, finish at the original position
2. Rotate on Y axis, first go left and then go right, finish at the original position
3. Rotate on Z axis, first turn it like it was to touch your right shoulder, then do the
	same for the left shoulder, finish at the original position

%BEGIN%
x = 0.422992, y = -0.0422259, z = -0.02721, w = -0.90474
x = -0.325845, y = 0.0402288, z = 0.031546, w = 0.94404
x = 0.0677172, y = -0.0396394, z = -0.0331584, w = -0.996365
x = 0.178251, y = -0.0367645, z = -0.0324554, w = -0.982762
x = -0.953344, y = -0.0109363, z = -0.0205226, w = -0.30099
x = -0.0692185, y = -0.0392036, z = -0.0364608, w = -0.996164
x = 0.746941, y = -0.0317945, z = -0.0178757, w = -0.663889
x = -0.0818464, y = 0.0455973, z = 0.0448373, w = 0.994591
x = 0.0998283, y = -0.0443722, z = -0.0557178, w = -0.992452
x = 0.848699, y = -0.028972, z = -0.0616974, w = -0.524465
x = -0.943009, y = -0.00927968, z = 0.0131176, w = -0.332378
x = 0.875059, y = 0.0242965, z = 0.00289245, w = 0.483397
x = -0.96126, y = -0.0224947, z = 0.0137569, w = -0.274378
x = -0.640994, y = -0.0318492, z = -0.0297979, w = -0.766306
x = 0.957325, y = 0.015361, z = -0.0187811, w = 0.287993
x = 0.763171, y = 0.0267851, z = 0.0151642, w = 0.645463
x = -0.52444, y = -0.0339816, z = -0.040981, w = -0.849782
x = 0.248985, y = 0.0369001, z = 0.0643634, w = 0.965662
x = 0.921672, y = 0.0189124, z = -0.0138551, w = 0.387261
x = 0.881183, y = -0.0133599, z = -0.0849231, w = -0.464894
x = -0.785393, y = 0.023036, z = 0.0975676, w = 0.610825
x = 0.184638, y = 0.0401888, z = 0.07591, w = 0.979046
x = -0.830118, y = 0.0180532, z = 0.102407, w = 0.547805
x = -0.464303, y = -0.0305055, z = -0.054434, w = -0.883476
x = 0.331398, y = 0.019346, z = 0.0755118, w = 0.940266
x = 0.877727, y = 0.0349929, z = -0.017436, w = 0.477563
x = -0.519781, y = -0.0286097, z = 0.14554, w = 0.841325
x = -0.622725, y = -0.0405405, z = 0.142906, w = 0.768211
x = -0.318418, y = -0.0319317, z = 0.113392, w = 0.940602
x = 0.551113, y = 0.0167082, z = 0.0382828, w = 0.833384
x = -0.726833, y = -0.0184817, z = 0.0836084, w = 0.681455
x = 0.556156, y = 0.0376443, z = 0.0332784, w = 0.829557
x = -0.642903, y = 0.0297556, z = 0.0957172, w = 0.759361
x = -0.484842, y = -0.000538229, z = 0.0967797, w = 0.86923
x = 0.336185, y = -0.0119094, z = 0.0483392, w = 0.940479
x = -0.481666, y = 0.0165808, z = -0.0275652, w = -0.875764
x = 0.177346, y = 0.153005, z = -0.0171124, w = -0.972031
x = 0.551247, y = -0.052229, z = 0.00458532, w = 0.832693
